"AIR QUALITY REPORT-US EMBASSY, NEW DELHI and CONSULATES ( YR 2013)",,,,,,,,,,,,
Date,Time,US Embassy-New Delhi,US Embassy-New Delhi,US Consulate-Chennai,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Kolkata,US Consulate-Mumbai,US Consulate-Mumbai,US Consulate-Hyderabad,US Consulate-Hyderabad,
,,PM2.5_Delhi,PM2.5_Delhi_AQI,PM2.5_Chennai,PM2.5_CHN_AQI,PM2.5_Kolkata,PM2.5_KOL_AQI,PM2.5_Mum,PM2.5_MUM_AQI,PM2.5_HYD,PM2.5_HYD_AQI,
,,µg/m3,µg/m3,µg/m3,ug/m3,µg/m3,µg/m3,µg/m3,ug/m3,µg/m3,ug/m3,
1/1/2013,1:00 AM,324.4,238,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,2:00 AM,366.8,243,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,3:00 AM,290.7,250,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,4:00 AM,245.4,254,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,5:00 AM,220.3,259,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,6:00 AM,180.2,262,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,7:00 AM,140,264,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,8:00 AM,125,265,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,9:00 AM,111,265,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,10:00 AM,112,264,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,11:00 AM,129.4,263,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,12:00 PM,184.1,261,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,1:00 PM,284.8,261,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,2:00 PM,372.3,263,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,3:00 PM,456.7,270,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,4:00 PM,404.8,282,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,5:00 PM,328.1,290,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,6:00 PM,274.4,296,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,7:00 PM,285,299,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,8:00 PM,354.9,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,9:00 PM,395.5,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,10:00 PM,392.7,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
1/1/2013,11:00 PM,442.1,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
01/01/2013 24:00 AM,,414.5,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,1:00 AM,391.2,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,2:00 AM,375.1,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,3:00 AM,310,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,4:00 AM,NoData,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,5:00 AM,NoData,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,6:00 AM,181.9,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,7:00 AM,152.5,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,8:00 AM,130.7,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,9:00 AM,127.8,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,10:00 AM,142.4,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,11:00 AM,190.3,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,12:00 PM,197.1,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,1:00 PM,243.1,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,2:00 PM,271.5,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,3:00 PM,246.1,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
2/1/2013,4:00 PM,189.9,500,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
