Group Report - Group PM25,,,,,,
,,,,,,
Date,Time,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Hyderabad,US Consulate-Mumbai,US Embassy-New Delhi
,,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_HYD,PM2.5_Mum,PM2.5_Delhi
,,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3
1/3/2016,1:00 AM,---,73,35,196,290
1/3/2016,2:00 AM,---,73,29,176,314
1/3/2016,3:00 AM,---,69,32,168,313
1/3/2016,4:00 AM,---,63,34,143,327
1/3/2016,5:00 AM,---,72,32,139,306
1/3/2016,6:00 AM,---,80,30,146,277
1/3/2016,7:00 AM,---,99,26,159,248
1/3/2016,8:00 AM,---,74,31,167,292
1/3/2016,9:00 AM,---,38,31,195,288
1/3/2016,10:00 AM,---,47,30,147,163
1/3/2016,11:00 AM,---,44,39,128,146
1/3/2016,12:00 PM,---,48,29,113,121
1/3/2016,1:00 PM,InVld,50,39,161,102
1/3/2016,2:00 PM,25,53,36,147,90
1/3/2016,3:00 PM,23,52,39,119,128
1/3/2016,4:00 PM,31,57,40,101,176
1/3/2016,5:00 PM,27,59,39,75,145
1/3/2016,6:00 PM,26,61,38,69,97
1/3/2016,7:00 PM,25,58,45,69,108
1/3/2016,8:00 PM,36,71,50,98,135
1/3/2016,9:00 PM,35,61,49,111,166
1/3/2016,10:00 PM,31,58,53,99,142
1/3/2016,11:00 PM,27,53,48,101,159
01/03/2016 24:00 AM,,32,49,56,96,136
2/3/2016,1:00 AM,27,50,43,118,140
2/3/2016,2:00 AM,23,48,50,129,156
2/3/2016,3:00 AM,21,46,50,119,159
2/3/2016,4:00 AM,22,45,40,129,166
2/3/2016,5:00 AM,18,37,42,161,176
2/3/2016,6:00 AM,21,47,47,153,177
2/3/2016,7:00 AM,30,57,57,178,170
2/3/2016,8:00 AM,28,65,55,198,159
2/3/2016,9:00 AM,27,67,54,185,186
2/3/2016,10:00 AM,26,61,56,134,158
2/3/2016,11:00 AM,20,40,59,63,149
2/3/2016,12:00 PM,33,49,55,114,119
2/3/2016,1:00 PM,21,53,55,90,100
2/3/2016,2:00 PM,21,44,48,88,84
2/3/2016,3:00 PM,19,51,40,75,74
2/3/2016,4:00 PM,24,52,45,59,1985
2/3/2016,5:00 PM,25,51,46,56,87
2/3/2016,6:00 PM,23,51,49,57,96
2/3/2016,7:00 PM,20,49,70,64,100
2/3/2016,8:00 PM,17,55,47,70,117
2/3/2016,9:00 PM,27,44,55,80,124
2/3/2016,10:00 PM,17,43,54,90,114
2/3/2016,11:00 PM,20,42,58,125,125
02/03/2016 24:00 AM,,13,44,50,121,107
3/3/2016,1:00 AM,21,47,55,117,120
3/3/2016,2:00 AM,15,43,68,120,116
3/3/2016,3:00 AM,10,44,73,109,126
3/3/2016,4:00 AM,14,47,49,110,159
3/3/2016,5:00 AM,11,41,31,110,162
3/3/2016,6:00 AM,14,46,27,132,161
3/3/2016,7:00 AM,22,44,36,132,156
3/3/2016,8:00 AM,81,44,58,168,176
3/3/2016,9:00 AM,29,42,67,133,223
3/3/2016,10:00 AM,28,48,60,112,179
3/3/2016,11:00 AM,15,51,55,78,144
3/3/2016,12:00 PM,17,58,62,69,108
3/3/2016,1:00 PM,21,74,49,68,89
3/3/2016,2:00 PM,22,82,38,77,88
3/3/2016,3:00 PM,23,79,37,69,80
3/3/2016,4:00 PM,20,66,39,71,93
3/3/2016,5:00 PM,22,78,39,67,90
3/3/2016,6:00 PM,20,82,42,67,95
3/3/2016,7:00 PM,20,92,48,64,78
3/3/2016,8:00 PM,20,63,55,65,132
3/3/2016,9:00 PM,23,54,75,48,118
3/3/2016,10:00 PM,16,57,67,46,105
3/3/2016,11:00 PM,19,56,55,54,131
03/03/2016 24:00 AM,,18,56,63,33,168
4/3/2016,1:00 AM,12,56,69,58,197
4/3/2016,2:00 AM,14,52,61,53,217
4/3/2016,3:00 AM,14,44,54,49,254
4/3/2016,4:00 AM,14,34,56,52,164
4/3/2016,5:00 AM,33,40,56,34,114
4/3/2016,6:00 AM,59,44,71,36,120
4/3/2016,7:00 AM,74,48,74,26,135
4/3/2016,8:00 AM,70,48,76,29,141
4/3/2016,9:00 AM,65,45,79,41,144
4/3/2016,10:00 AM,37,60,83,55,86
4/3/2016,11:00 AM,18,72,99,46,112
4/3/2016,12:00 PM,37,74,69,27,126
4/3/2016,1:00 PM,23,67,53,17,101
4/3/2016,2:00 PM,25,60,52,23,58
4/3/2016,3:00 PM,27,59,45,17,38
4/3/2016,4:00 PM,30,73,48,48,38
4/3/2016,5:00 PM,24,63,48,66,29
4/3/2016,6:00 PM,29,70,58,278,37
4/3/2016,7:00 PM,26,89,60,41,41
4/3/2016,8:00 PM,34,95,69,68,59
4/3/2016,9:00 PM,33,73,68,82,77
4/3/2016,10:00 PM,36,77,73,86,69
4/3/2016,11:00 PM,32,80,62,143,27
04/03/2016 24:00 AM,,27,69,67,154,16
5/3/2016,1:00 AM,23,71,57,129,22
5/3/2016,2:00 AM,27,54,56,113,45
5/3/2016,3:00 AM,21,43,50,86,54
5/3/2016,4:00 AM,25,41,52,60,65
5/3/2016,5:00 AM,27,40,62,50,56
5/3/2016,6:00 AM,29,46,58,37,23
5/3/2016,7:00 AM,76,52,66,48,32
5/3/2016,8:00 AM,100,59,75,82,85
5/3/2016,9:00 AM,89,62,86,85,62
5/3/2016,10:00 AM,42,63,67,66,56
