Group Report - Group All params,,,,,,
,,,,,,
Date,Time,US Embassy-New Delhi,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Mumbai,US Consulate-Hyderabad
,,PM2.5_Delhi,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_Mum,PM2.5_HYD
,,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3
1/1/2016,1:00 AM,322,46,399,265,104
1/1/2016,2:00 AM,395,38,401,164,155
1/1/2016,3:00 AM,433,38,412,160,122
1/1/2016,4:00 AM,413,38,382,142,94
1/1/2016,5:00 AM,401,32,383,163,96
1/1/2016,6:00 AM,383,41,418,128,77
1/1/2016,7:00 AM,386,73,604,96,109
1/1/2016,8:00 AM,372,83,467,80,88
1/1/2016,9:00 AM,354,31,576,101,90
1/1/2016,10:00 AM,297,30,545,93,99
1/1/2016,11:00 AM,196,38,235,74,110
1/1/2016,12:00 PM,138,34,277,68,89
1/1/2016,1:00 PM,238,36,233,55,72
1/1/2016,2:00 PM,356,34,217,96,37
1/1/2016,3:00 PM,258,36,218,73,31
1/1/2016,4:00 PM,142,37,208,72,25
1/1/2016,5:00 PM,135,44,221,59,27
1/1/2016,6:00 PM,207,49,249,60,36
1/1/2016,7:00 PM,298,60,361,60,49
1/1/2016,8:00 PM,385,57,442,72,68
1/1/2016,9:00 PM,343,54,526,83,77
1/1/2016,10:00 PM,321,43,576,131,77
1/1/2016,11:00 PM,310,45,599,166,79
01/01/2016 24:00 AM,,300,43,412,243,80
2/1/2016,1:00 AM,290,41,354,181,87
2/1/2016,2:00 AM,277,37,408,135,79
2/1/2016,3:00 AM,236,47,323,138,76
2/1/2016,4:00 AM,213,64,209,148,77
2/1/2016,5:00 AM,201,69,223,126,82
2/1/2016,6:00 AM,212,82,316,132,77
2/1/2016,7:00 AM,215,82,447,109,93
2/1/2016,8:00 AM,237,83,490,113,97
2/1/2016,9:00 AM,252,77,440,122,126
2/1/2016,10:00 AM,308,90,387,90,126
2/1/2016,11:00 AM,238,77,313,86,61
2/1/2016,12:00 PM,217,51,239,57,62
2/1/2016,1:00 PM,181,50,205,90,57
2/1/2016,2:00 PM,161,47,190,100,45
2/1/2016,3:00 PM,172,46,192,73,45
2/1/2016,4:00 PM,152,45,189,59,41
2/1/2016,5:00 PM,158,55,211,33,51
2/1/2016,6:00 PM,156,59,234,46,51
2/1/2016,7:00 PM,194,58,304,67,62
2/1/2016,8:00 PM,273,63,379,117,85
2/1/2016,9:00 PM,344,59,431,101,71
2/1/2016,10:00 PM,338,53,412,123,72
2/1/2016,11:00 PM,343,59,432,186,69
02/01/2016 24:00 AM,,385,100,392,170,78
3/1/2016,1:00 AM,382,88,301,259,114
3/1/2016,2:00 AM,406,90,427,231,83
3/1/2016,3:00 AM,494,76,386,177,83
3/1/2016,4:00 AM,536,92,359,170,106
3/1/2016,5:00 AM,472,77,399,146,80
3/1/2016,6:00 AM,536,83,490,124,71
3/1/2016,7:00 AM,484,95,578,129,74
3/1/2016,8:00 AM,442,94,547,153,75
3/1/2016,9:00 AM,513,91,540,199,98
3/1/2016,10:00 AM,549,89,303,197,94
3/1/2016,11:00 AM,322,40,230,180,100
3/1/2016,12:00 PM,279,36,227,142,62
3/1/2016,1:00 PM,202,34,248,91,43
3/1/2016,2:00 PM,163,34,251,63,38
3/1/2016,3:00 PM,184,37,261,56,35
3/1/2016,4:00 PM,151,43,239,60,36
3/1/2016,5:00 PM,156,47,248,60,39
3/1/2016,6:00 PM,157,48,236,62,46
3/1/2016,7:00 PM,171,45,263,81,84
3/1/2016,8:00 PM,297,39,341,107,133
3/1/2016,9:00 PM,288,39,333,132,69
3/1/2016,10:00 PM,327,40,312,126,81
3/1/2016,11:00 PM,344,35,309,119,71
03/01/2016 24:00 AM,,374,28,337,127,61
4/1/2016,1:00 AM,384,32,359,140,67
4/1/2016,2:00 AM,387,31,351,173,62
4/1/2016,3:00 AM,404,28,318,184,66
4/1/2016,4:00 AM,390,27,318,170,69
4/1/2016,5:00 AM,351,48,299,189,68
4/1/2016,6:00 AM,361,78,266,176,69
4/1/2016,7:00 AM,362,80,266,149,87
4/1/2016,8:00 AM,377,101,260,134,95
4/1/2016,9:00 AM,439,97,283,132,177
4/1/2016,10:00 AM,542,69,276,125,102
4/1/2016,11:00 AM,463,43,248,103,78
4/1/2016,12:00 PM,352,32,229,99,50
4/1/2016,1:00 PM,409,29,203,87,46
4/1/2016,2:00 PM,384,32,166,68,46
4/1/2016,3:00 PM,367,30,174,90,47
4/1/2016,4:00 PM,370,35,167,71,47
4/1/2016,5:00 PM,358,32,194,---,49
4/1/2016,6:00 PM,372,38,212,80,54
4/1/2016,7:00 PM,421,33,251,83,62
4/1/2016,8:00 PM,453,38,339,99,76
4/1/2016,9:00 PM,462,44,366,106,83
4/1/2016,10:00 PM,488,41,315,110,83
4/1/2016,11:00 PM,492,32,321,111,80
04/01/2016 24:00 AM,,480,33,267,155,82
5/1/2016,1:00 AM,566,31,240,187,97
5/1/2016,2:00 AM,435,28,246,225,77
5/1/2016,3:00 AM,415,28,240,154,92
5/1/2016,4:00 AM,416,51,238,122,71
5/1/2016,5:00 AM,408,73,233,132,81
5/1/2016,6:00 AM,390,78,269,120,117
5/1/2016,7:00 AM,388,119,330,130,112
5/1/2016,8:00 AM,424,158,403,131,141
5/1/2016,9:00 AM,437,132,472,138,---
5/1/2016,10:00 AM,457,110,391,148,108
5/1/2016,11:00 AM,435,---,355,110,86
5/1/2016,12:00 PM,322,39,---,85,69
5/1/2016,1:00 PM,221,30,InVld,109,65
5/1/2016,2:00 PM,143,30,264,89,59
5/1/2016,3:00 PM,199,40,234,78,59
5/1/2016,4:00 PM,209,38,227,92,54
5/1/2016,5:00 PM,258,51,227,106,64
5/1/2016,6:00 PM,278,InVld,247,86,59
5/1/2016,7:00 PM,299,38,271,89,68
5/1/2016,8:00 PM,333,31,260,112,77
5/1/2016,9:00 PM,373,33,289,115,88
5/1/2016,10:00 PM,361,33,296,156,78
5/1/2016,11:00 PM,343,32,303,185,79
05/01/2016 24:00 AM,,367,28,359,179,85
6/1/2016,1:00 AM,407,34,374,167,87
