Group Report - Group All params,,,,,,
,,,,,,
Date,Time,US Embassy-New Delhi,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Mumbai,US Consulate-Hyderabad
,,PM2.5_Delhi,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_Mum,PM2.5_HYD
,,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3
1/1/2015,1:00 AM,---,75,199.2,75.7,---
1/1/2015,2:00 AM,---,113,219.4,107.4,---
1/1/2015,3:00 AM,---,93,196.5,134.7,---
1/1/2015,4:00 AM,---,71,220.5,128.4,---
1/1/2015,5:00 AM,---,59,193.8,99.2,---
1/1/2015,6:00 AM,---,56,187.4,103.8,---
1/1/2015,7:00 AM,---,71,208.2,122.5,---
1/1/2015,8:00 AM,---,91,219.1,94.8,---
1/1/2015,9:00 AM,---,71,225.9,116.9,---
1/1/2015,10:00 AM,436,73,163,137.1,PwrFail
1/1/2015,11:00 AM,291,58,110.5,118.8,---
1/1/2015,12:00 PM,270,---,85,105,---
1/1/2015,1:00 PM,207,29,75.8,79.3,---
1/1/2015,2:00 PM,163,35,61.2,63.3,---
1/1/2015,3:00 PM,313,56,34.1,45.9,---
1/1/2015,4:00 PM,233,56,40.1,65.3,---
1/1/2015,5:00 PM,173,37,48,46.3,---
1/1/2015,6:00 PM,178,39,50.3,58.1,---
1/1/2015,7:00 PM,266,---,62.9,47.6,---
1/1/2015,8:00 PM,449,45,48,43.1,---
1/1/2015,9:00 PM,290,33,51.4,48.8,PwrFail
1/1/2015,10:00 PM,329,46,64.6,64.5,---
1/1/2015,11:00 PM,281,66,43.9,70.2,---
01/01/2015 24:00 AM,,267,66,40.7,77.2,---
2/1/2015,1:00 AM,259,68,29,125.2,---
2/1/2015,2:00 AM,304,62,28,101.8,---
2/1/2015,3:00 AM,375,57,28.1,100.1,---
2/1/2015,4:00 AM,457,51,34.1,101,---
2/1/2015,5:00 AM,430,51,37,99.7,---
2/1/2015,6:00 AM,302,68,36,87,---
2/1/2015,7:00 AM,154,76,38.1,100.1,---
2/1/2015,8:00 AM,58,103,44.1,117.1,---
2/1/2015,9:00 AM,40,51,60.8,162.6,---
2/1/2015,10:00 AM,37,31,50.1,144.7,---
2/1/2015,11:00 AM,50,24,54.9,125.9,---
2/1/2015,12:00 PM,62,16,47.9,97.6,---
2/1/2015,1:00 PM,54,---,44,51,---
2/1/2015,2:00 PM,54,20,41.8,63.2,PwrFail
2/1/2015,3:00 PM,62,21,32.1,39.7,PwrFail
2/1/2015,4:00 PM,104,19,35.2,57.7,PwrFail
2/1/2015,5:00 PM,107,19,42.8,43.9,---
2/1/2015,6:00 PM,83,26,34.2,70.9,---
2/1/2015,7:00 PM,93,26,58.9,51.7,---
2/1/2015,8:00 PM,88,27,47.3,71.3,---
2/1/2015,9:00 PM,81,26,65,53.6,---
2/1/2015,10:00 PM,87,31,63,62.3,PwrFail
2/1/2015,11:00 PM,89,---,62,90,---
02/01/2015 24:00 AM,,93,30,42.8,102.1,---
3/1/2015,1:00 AM,85,32,37.8,121.7,---
3/1/2015,2:00 AM,81,29,28.9,118,---
3/1/2015,3:00 AM,80,30,21,117.3,---
3/1/2015,4:00 AM,93,40,20,110.1,---
3/1/2015,5:00 AM,116,44,23.1,128.2,---
3/1/2015,6:00 AM,110,37,29.2,187.4,---
3/1/2015,7:00 AM,95,63,38.2,144.3,---
3/1/2015,8:00 AM,101,81,49.1,149.4,---
3/1/2015,9:00 AM,92,57,55.1,156.3,---
3/1/2015,10:00 AM,94,19,59.1,168.5,62
3/1/2015,11:00 AM,83,23,65.3,138.5,43
3/1/2015,12:00 PM,78,19,32,94.6,42.9
3/1/2015,1:00 PM,81,23,44.6,67.5,43.3
3/1/2015,2:00 PM,101,---,34.9,70.5,52.2
3/1/2015,3:00 PM,116,21,28,34,45.7
3/1/2015,4:00 PM,137,26,27.8,34.1,43.3
3/1/2015,5:00 PM,125,23,21.4,35.7,39.3
3/1/2015,6:00 PM,118,22,36.6,32.9,49.7
3/1/2015,7:00 PM,113,37,69.5,46.7,54
3/1/2015,8:00 PM,118,23,43.8,65.7,47.9
3/1/2015,9:00 PM,134,25,128.4,50.3,51.6
3/1/2015,10:00 PM,174,26,148.9,53.1,34
3/1/2015,11:00 PM,206,23,144.8,54.2,34.2
03/01/2015 24:00 AM,,202,25,131.9,57.4,35.4
4/1/2015,1:00 AM,215,19,125.8,73.1,30.8
4/1/2015,2:00 AM,189,27,114.8,95.8,29
4/1/2015,3:00 AM,160,25,105.9,70.9,29.3
4/1/2015,4:00 AM,153,---,103,70,31
4/1/2015,5:00 AM,131,20,101,96.1,31.2
4/1/2015,6:00 AM,133,46,100.9,93.6,40.3
4/1/2015,7:00 AM,128,70,90,54.7,43.9
4/1/2015,8:00 AM,115,83,87.1,75,52.4
4/1/2015,9:00 AM,82,92,93.8,74.6,63.4
4/1/2015,10:00 AM,96,52,74,68.7,66
4/1/2015,11:00 AM,123,67,69,53.1,64.7
4/1/2015,12:00 PM,139,37,67,53.5,53.4
4/1/2015,1:00 PM,141,22,63,46,42
4/1/2015,2:00 PM,142,20,56,34.8,42.9
4/1/2015,3:00 PM,127,18,55,32.6,50.1
4/1/2015,4:00 PM,111,22,49.9,39.5,57
4/1/2015,5:00 PM,111,24,44.9,46.1,43.6
4/1/2015,6:00 PM,128,26,39.1,47.2,59.8
4/1/2015,7:00 PM,164,21,45.1,49.8,73.6
4/1/2015,8:00 PM,191,26,50.9,60.7,78.9
4/1/2015,9:00 PM,181,23,47.1,81,83.8
4/1/2015,10:00 PM,176,22,58.9,88.5,81.8
4/1/2015,11:00 PM,164,14,53.1,44.8,74.5
04/01/2015 24:00 AM,,174,20,56,54.3,85.5
5/1/2015,1:00 AM,135,16,56,62,80.3
5/1/2015,2:00 AM,120,13,58.9,61.4,67.6
5/1/2015,3:00 AM,113,14,45,51.8,57.3
5/1/2015,4:00 AM,118,15,48.1,27.2,59.5
5/1/2015,5:00 AM,140,23,55.1,42.3,56.6
5/1/2015,6:00 AM,125,47,58.1,45.4,60.2
5/1/2015,7:00 AM,117,53,64.2,49.7,54.6
